model,Recall@1,Recall@3,Recall@5,Recall@10,MRR
text-embedding-3-small,0.006666666666666667,0.013333333333333334,0.023333333333333334,0.043333333333333335,0.01416005291005291
text-embedding-3-large,0.006666666666666667,0.013333333333333334,0.02666666666666667,0.03333333333333333,0.0135
bge-m3,0.006666666666666667,0.01,0.01,0.03333333333333333,0.010650793650793652
multilingual-e5-large,0.006666666666666667,0.01,0.013333333333333334,0.023333333333333334,0.009707671957671957
